;;;;;;;;;;;;;;;;;;;;;delta12[?s];delta23[?s];delta34[?s];delta54[?s];Razem[?s];Przesy³ SerialPort [s];Przesy³ SerialPort [Hz]
-51,09;-163,53;7,91;16651464;-96,12;162,34;-19,61;16658016;143,96;-179,09;-2,81;16664624;151,2;176,02;15,41;16670332;-0,65;9,8;-7,59;16675984;14457744;6552;6608;5708;5652;24520;0,128349;7,791256652
-51,09;-163,53;7,91;16782384;-96,12;162,34;-19,61;16789360;143,96;-179,09;-2,81;16797284;151,2;176,02;15,41;16803048;-0,65;9,8;-7,59;16808932;14588869;6976;7924;5764;5884;26548;0,131125;7,626310772
-51,09;-163,53;7,91;16914168;-96,12;162,34;-19,61;16922308;143,96;-179,09;-2,81;16929520;151,2;176,02;15,41;16937512;-0,65;9,8;-7,59;16943400;14722874;8140;7212;7992;5888;29232;0,134005;7,462408119
-51,09;-163,53;7,91;17051380;-96,12;162,34;-19,61;17056804;143,96;-179,09;-2,81;17062596;151,2;176,02;15,41;17069380;-0,65;9,8;-7,59;17077120;14859115;5424;5792;6784;7740;25740;0,136241;7,339934381
-51,09;-163,53;7,91;17183668;-96,12;162,34;-19,61;17190224;143,96;-179,09;-2,81;17198216;151,2;176,02;15,41;17204172;-0,65;9,8;-7,59;17209996;14990109;6556;7992;5956;5824;26328;0,130994;7,633937432
-51,09;-163,53;7,91;17315504;-96,12;162,34;-19,61;17323344;143,96;-179,09;-2,81;17330384;151,2;176,02;15,41;17338532;-0,65;9,8;-7,59;17344000;15124241;7840;7040;8148;5468;28496;0,134132;7,455342498
-51,09;-163,53;7,91;17450692;-96,12;162,34;-19,61;17456812;143,96;-179,09;-2,81;17462236;151,2;176,02;15,41;17468360;-0,65;9,8;-7,59;17474240;15259494;6120;5424;6124;5880;23548;0,135253;7,393551345
-51,09;-163,53;7,91;17579456;-96,12;162,34;-19,61;17586516;143,96;-179,09;-2,81;17591964;151,2;176,02;15,41;17599572;-0,65;9,8;-7,59;17605460;15387484;7060;5448;7608;5888;26004;0,12799;7,813110399
-51,09;-163,53;7,91;17712500;-96,12;162,34;-19,61;17718352;143,96;-179,09;-2,81;17723796;151,2;176,02;15,41;17730896;-0,65;9,8;-7,59;17736772;15521423;5852;5444;7100;5876;24272;0,133939;7,466085307
-51,09;-163,53;7,91;17844672;-96,12;162,34;-19,61;17849956;143,96;-179,09;-2,81;17857436;151,2;176,02;15,41;17862804;-0,65;9,8;-7,59;17869860;15653678;5284;7480;5368;7056;25188;0,132255;7,561150807
-51,09;-163,53;7,91;17977008;-96,12;162,34;-19,61;17982296;143,96;-179,09;-2,81;17990104;151,2;176,02;15,41;17996876;-0,65;9,8;-7,59;18003720;15784294;5288;7808;6772;6844;26712;0,130616;7,656029889
-51,09;-163,53;7,91;18109044;-96,12;162,34;-19,61;18117220;143,96;-179,09;-2,81;18122664;151,2;176,02;15,41;18130268;-0,65;9,8;-7,59;18136680;15918856;8176;5444;7604;6412;27636;0,134562;7,431518557
-51,09;-163,53;7,91;18242640;-96,12;162,34;-19,61;18249432;143,96;-179,09;-2,81;18255896;151,2;176,02;15,41;18262512;-0,65;9,8;-7,59;18268268;16050850;6792;6464;6616;5756;25628;0,131994;7,576101944
-51,09;-163,53;7,91;18375340;-96,12;162,34;-19,61;18381404;143,96;-179,09;-2,81;18389364;151,2;176,02;15,41;18395120;-0,65;9,8;-7,59;18400580;16184982;6064;7960;5756;5460;25240;0,134132;7,455342498
-51,09;-163,53;7,91;18508084;-96,12;162,34;-19,61;18513784;143,96;-179,09;-2,81;18521172;151,2;176,02;15,41;18528104;-0,65;9,8;-7,59;18535280;16316789;5700;7388;6932;7176;27196;0,131807;7,586850471
-51,09;-163,53;7,91;18641076;-96,12;162,34;-19,61;18648888;143,96;-179,09;-2,81;18654744;151,2;176,02;15,41;18662228;-0,65;9,8;-7,59;18669820;16451221;7812;5856;7484;7592;28744;0,134432;7,43870507
-51,09;-163,53;7,91;18776832;-96,12;162,34;-19,61;18782908;143,96;-179,09;-2,81;18790544;151,2;176,02;15,41;18796332;-0,65;9,8;-7,59;18802584;16586640;6076;7636;5788;6252;25752;0,135419;7,384488144
-51,09;-163,53;7,91;18910140;-96,12;162,34;-19,61;18915856;143,96;-179,09;-2,81;18922436;151,2;176,02;15,41;18930044;-0,65;9,8;-7,59;18935932;16718590;5716;6580;7608;5888;25792;0,13195;7,578628268
-51,09;-163,53;7,91;19042232;-96,12;162,34;-19,61;19049352;143,96;-179,09;-2,81;19055204;151,2;176,02;15,41;19062820;-0,65;9,8;-7,59;19070548;16852597;7120;5852;7616;7728;28316;0,134007;7,462296746
-51,09;-163,53;7,91;19176228;-96,12;162,34;-19,61;19183468;143,96;-179,09;-2,81;19191240;151,2;176,02;15,41;19197024;-0,65;9,8;-7,59;19204444;16984714;7240;7772;5784;7420;28216;0,132117;7,569048646
-51,09;-163,53;7,91;19311952;-96,12;162,34;-19,61;19317656;143,96;-179,09;-2,81;19323500;151,2;176,02;15,41;19331668;-0,65;9,8;-7,59;19337116;17119963;5704;5844;8168;5448;25164;0,135249;7,393770009
-51,09;-163,53;7,91;19443672;-96,12;162,34;-19,61;19450596;143,96;-179,09;-2,81;19457228;151,2;176,02;15,41;19464056;-0,65;9,8;-7,59;19469936;17254091;6924;6632;6828;5880;26264;0,134128;7,455564834
-51,09;-163,53;7,91;19575420;-96,12;162,34;-19,61;19583692;143,96;-179,09;-2,81;19591320;151,2;176,02;15,41;19597112;-0,65;9,8;-7,59;19605060;17386157;8272;7628;5792;7948;29640;0,132066;7,57197159
